B_x_m,B_y_m,C_x_m,C_y_m,E_x_m,E_y_m,F_x_m,F_y_m,H_x_m,H_y_m,A_force_x_N,A_force_y_N,B_force_x_N,B_force_y_N,C_force_x_N,C_force_y_N,D_force_x_N,D_force_y_N,E_force_x_N,E_force_y_N,F_force_x_N,F_force_y_N,G_force_x_N,G_force_y_N,InputTorque_N_m
1.67,0.99,0.255,1.035,0.195,2.54,-0.98,2.57,-1.71459142765926,4.26027347917712,190.925219276315,-6.07182676143757,-190.925219276315,6.07182676143757,-190.925219276315,6.07182676143757,-115.634447175452,4.14950917588363,-75.2907721008634,1.92231758555395,-75.2907721008634,1.92231758555395,-75.2907721008634,101.922317585554,-98.0566289601273
1.6611454124414,0.994635235792044,0.245996593952901,1.03468297643509,0.172170522655605,2.53906813695643,-1.00302851208895,2.55985824843946,-1.75404377234265,4.24289867542452,195.443624349325,-5.53092047706998,-195.443624349325,5.53092047706998,-195.443624349325,5.53092047706998,-118.388221053514,4.16775527906783,-77.0554032958112,1.36316519800216,-77.0554032958112,1.36316519800216,-77.0554032958112,101.363165198002,-101.049332088485
1.65221127746039,0.999115231754319,0.236932707254813,1.03428011077942,0.149188876287418,2.5379177067869,-1.02613785588452,2.54940999298383,-1.79363459754703,4.22499877055947,199.994722786532,-4.96919149381668,-199.994722786532,4.96919149381668,-199.994722786532,4.96919149381668,-121.169446160891,4.19844186842558,-78.8252766256407,0.770749625391104,-78.8252766256408,0.770749625391104,-78.8252766256407,100.770749625391,-104.073619389639
1.64320031648105,1.00343862323665,0.227810331309224,1.03378973318841,0.126060135102326,2.53654450279384,-1.04932089166943,2.53865208552686,-1.83335167154039,4.20656837126033,204.578165572648,-4.38690005021485,-204.578165572648,4.38690005021485,-204.578165572648,4.38690005021485,-123.978727186367,4.24237671627874,-80.5994383862806,0.144523333936105,-80.5994383862806,0.144523333936105,-80.5994383862806,100.144523333936,-107.128117984347
1.63411527432937,1.00760409329213,0.218631496036277,1.03321021344168,0.10278947042855,2.53494441931937,-1.072570384133,2.52758152009065,-1.87318259882063,4.18760232769908,209.193624746731,-3.7843154205873,-209.193624746731,3.7843154205873,-209.193624746731,3.7843154205873,-126.816716852629,4.30035556713831,-82.376907894102,-0.516040146551011,-82.376907894102,-0.516040146551011,-82.376907894102,99.483959853449,-110.211410626098
1.6249589183972,1.0116103730782,0.209398268941612,1.03253996248797,0.079382148332142,2.53311345565039,-1.0958790059036,2.51619543731296,-1.91311482616719,4.16809574122906,213.840793889457,-3.16171547781178,-213.840793889457,3.16171547781178,-213.840793889457,3.16171547781178,-129.68411604032,4.37316045234974,-84.1566778491374,-1.21144497453796,-84.1566778491374,-1.21144497453796,-84.1566778491374,98.788555025462,-113.322036343634
1.61573403779927,1.01545624224324,0.200112754157012,1.03177743395985,0.05584352716243,2.53104771984642,-1.1192393411816,2.50449112886842,-1.95313564886505,4.14804397195923,218.519388579142,-2.51938627654685,-218.519388579142,2.51938627654685,-218.519388579142,2.51938627654685,-132.581673827843,4.46155801754985,-85.9377147512992,-1.94217174100301,-85.9377147512992,-1.94217174100301,-85.9377147512992,98.057828258997,-116.458491097199
1.60644344252356,1.01914052929826,0.190777091454418,1.03092112565781,0.0321790550303137,2.52874343248944,-1.14264388947085,2.49246604182218,-1.99323221709752,4.12744264621297,223.229146818725,-1.8576216580786,-223.229146818725,1.8576216580786,-223.229146818725,1.8576216580786,-135.510187447687,4.56629786577718,-87.7189593710386,-2.70867620769857,-87.7189593710386,-2.70867620769857,-87.7189593710386,97.2913237923014,-119.619228446552
1.59708996257539,1.02266211197371,0.181393455234788,1.02996958100333,0.00839426722325776,2.52619693035481,-1.16608506940691,2.48011778291509,-2.0333915425047,4.10628766386931,227.969829436062,-1.17672287785862,-227.969829436062,1.17672287785862,-227.969829436062,1.17672287785862,-138.470502160191,4.68811091907693,-89.4993272758708,-3.51138804121832,-89.4993272758708,-3.51138804121832,-89.4993272758708,96.4886119587817,-122.802660228838
1.58767644711537,1.02601991756141,0.171964053493342,1.02892139046093,-0.0155052164392219,2.52340467000304,-1.18955522268019,2.46744412277927,-2.07360050490459,4.08457520558511,232.741220459979,-0.476998256713703,-232.741220459979,0.476998256713703,-232.741220459979,0.476998256713703,-141.463511045808,4.82770780144899,-91.2777094141715,-4.35070954473529,-91.2777094141714,-4.35070954473529,-91.2777094141715,95.6492904552647,-126.007157244499
1.5782057635915,1.02921292324124,0.162491126762609,1.02777519292903,-0.0395136943058792,2.52036323129229,-1.21304661805254,2.45444300008362,-2.11384585917431,4.06230173989706,237.543127474708,0.241237143378327,-237.543127474708,-0.241237143378327,-237.543127474708,-0.241237143378327,-144.490154717078,4.98577724600331,-93.0529727576297,-5.22701438938163,-93.0529727576297,-5.22701438938163,-93.0529727576297,94.7729856106184,-129.231049949534
1.56868079686571,1.03224015639274,0.152976947034738,1.02652967709985,-0.0636253856462305,2.51706932081187,-1.23655145546581,2.44111252560838,-2.15411424228885,4.03946403020227,242.375381955368,0.977661818132327,-242.375381955368,-0.977661818132327,-242.375381955368,-0.977661818132327,-147.551420951661,5.1629845292113,-94.8239610037072,-6.14064634734363,-94.8239610037072,-6.14064634734363,-94.8239610037072,93.8593536526564,-132.472629152457
